,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
CDK6,0.30093393,-0.31307498,0.1288221,0.5026423,1.5683802,-0.23783475,0.54295266,0.19606723,0.6126678,0.25476485,-1.3546783,0.17459953,-0.29668254,0.2854788,-0.36008295,0.6997695
GSK3A,-0.19930196,-0.38572934,0.77948266,-0.20562147,0.06963427,0.2616558,1.0124801,-0.006460869,0.75573385,-0.29804265,-0.31718972,-1.1971271,-0.035097905,-0.4953268,-0.3118941,-0.33177713
GSK3B,0.34411243,-0.17867099,0.48650342,-1.2193078,0.033121143,0.6883366,1.2577037,0.16782631,0.55202657,-0.24519789,0.43373486,-1.3928638,-0.93427587,-0.6778838,0.09851777,-0.22153558
MAPK3,-0.09648749,-0.5474936,0.53382105,-0.2664009,0.51055384,-0.3321084,0.7672799,-0.029851208,-0.6212305,0.6596039,-0.75135887,-1.1333295,0.3531457,-0.9446188,-0.54120255,0.85257524
MAPK1,-0.023621075,-0.56181294,-0.4599123,-0.17114532,0.95282364,-0.20609123,0.53765965,-0.65722,0.015273357,0.0688516,-0.96352905,-1.8477257,0.58597577,-0.90040153,-0.34895092,0.3887555
MAPK8,-0.57844716,0.22681542,0.35309085,-0.29072398,0.6749286,1.170644,1.0267092,-0.44204184,0.69009244,0.20279402,-0.37566423,0.18314955,-0.6871609,-1.467451,-0.26559538,0.07073778
MAPK9,0.1436455,0.14102271,0.53718275,0.19910295,0.8062705,1.7000943,0.90240854,-0.817047,-0.4425882,0.25593197,-0.44466144,0.82812685,0.7553828,-0.8779002,-0.3285482,-0.5180754
MAPK10,0.10206071,-0.086753495,0.9665981,0.05794112,0.34580073,0.48747498,0.6826586,0.48740426,0.74777025,0.53720707,0.058182143,-0.7333008,0.2725814,-0.91196823,-0.43406573,0.24373825
SRPK2,-0.97343534,0.21632367,-0.8408339,-0.50269055,1.1627789,-0.049624924,1.3728949,0.007389848,0.53312844,0.6368726,0.3339913,-1.3471448,0.6629169,-0.43859226,1.2598804,-0.9593427
AURKA,-0.7410681,0.40609568,-0.5223919,-0.6454837,-0.19057794,0.77051234,1.9543755,0.15459956,0.05959787,0.49789605,-0.22232354,-0.8342211,-0.5937487,0.47173852,0.31957927,1.3540081
CSNK2A1,-1.0582141,-0.04760834,-0.17680004,-0.44419742,0.7399626,0.9579925,1.306219,0.56857383,0.29575503,-0.018692348,0.42355144,-0.27862784,1.1891601,0.79450923,0.44182265,-0.43985143
CHUK,-0.47229257,-0.345637,-0.0787153,-0.27217293,0.64443964,0.48915097,1.1297518,-0.5859042,0.63779384,0.67339927,-0.7423067,0.00230349,-0.111523114,-1.3422766,0.13594624,1.3143768
IKBKB,-0.3398805,-0.3695205,-0.5814544,0.6354377,0.42820755,1.7779602,1.0101433,0.6031002,0.2789937,0.2692225,-0.8609535,0.6758664,-0.46962416,-1.4360517,0.84651536,0.58683604
TBK1,0.28911334,-0.46894062,-0.20861216,0.038692623,0.4016497,0.8150559,1.1221868,-0.1632636,0.22291017,-0.013965126,-1.0347759,0.17267872,-0.5122148,-0.2953544,0.69497705,-0.47697368
PINK1,-1.0793877,-0.07179587,0.6636134,-0.2954281,0.43080387,0.2883562,1.120968,0.85159403,0.50894624,0.38198167,-0.75905657,0.692815,-0.24489702,-0.47691274,0.88662153,0.023638032
EIF2AK3,-0.7489298,0.27277148,-0.3934848,-0.63152015,0.6371879,0.22373995,1.3519671,0.30340508,0.0058414633,-0.028752523,-0.09616861,0.2902388,-0.04255686,-0.6132864,0.4883168,1.1249133
PIK3R4,-0.65788585,0.3095429,0.22455189,-0.29684615,-0.04660396,0.4694769,1.2373315,-0.19670369,0.1530045,-0.070551075,-0.98201233,0.21127568,0.09766671,-0.2973492,-0.39004993,-0.084869206
MAP3K3,0.3414995,-0.25941402,0.6544303,0.29719415,0.55975366,0.9751375,0.93603104,0.12891762,0.47241935,-0.67104214,-1.2454185,0.6449679,0.2678985,-0.5018697,-0.45152447,0.44619498
MAP3K6,-0.5807915,0.2593402,-0.13695708,-1.1172445,0.9496817,0.11792387,1.9358569,-0.27648282,0.6836095,-0.8258965,-1.7392646,0.7730211,-0.05324249,-0.13176711,0.5526222,-0.07571601
GCK,-0.37557757,0.61824185,-0.14794824,-0.799383,0.81843156,0.22734219,1.119145,-0.059131667,-0.075104296,0.026751906,-0.2826358,0.19683374,-0.12133195,-0.38041613,0.52901334,0.43254364
MST1,1.1631806,0.8480783,-0.4095671,0.25291157,0.58490455,0.6959246,1.738347,-0.644983,-0.08512921,0.02283194,-0.6126413,0.40790465,1.1900148,-0.4813733,1.1959109,0.44600812
STK4,-0.1373334,-0.71390885,0.4413568,0.28401336,0.6891709,0.92168134,0.8645684,0.33017984,-0.07488171,-0.5126682,-1.2296722,0.7470455,0.25973833,-0.06904886,-0.045627967,-0.14046381
STK3,0.8650434,-0.03611594,0.10144452,-1.4331521,0.8165207,-0.52792966,2.1668782,-0.08293049,-0.4658988,0.79441863,-0.8511962,-0.24703082,-0.663854,-0.17993763,0.32938924,-0.47441274
PAK1,-0.43032727,-0.5666767,0.8372293,-0.05276825,0.12736477,0.2048077,1.3990945,-0.31569815,0.88814306,0.61248714,-0.18032761,-0.22554973,0.40506998,-0.7674595,-0.071254894,-0.26623195
PKN1,0.1675234,-0.34605652,0.6816558,0.26824868,0.4077727,0.4391445,0.960762,0.39585325,-0.1482281,-0.8030045,-1.2407435,0.255192,0.14655392,-0.5631884,-0.29297855,0.41994527
MAP2K1,-0.16566318,-0.33401707,0.7471655,-0.43144605,0.32319164,0.3470554,0.7066087,0.46150115,0.8739764,0.5327715,-0.49159995,-0.8961434,-0.024814673,-0.3744263,-0.1183882,-0.58991176
MAP2K2,-0.5849846,0.912314,0.9737625,-1.5334967,1.5359868,0.23190755,1.1042821,0.14946403,-1.3208374,0.61635846,-1.5346462,-1.489729,-0.018379768,-0.3807581,-0.24489148,-0.56018364
MAP2K5,-0.6761207,0.34736624,-0.72803384,-1.3682251,1.1561519,0.27876997,1.2883619,-0.102468766,-0.29972905,0.32043466,-0.5226737,0.12061179,0.16752332,-0.32728016,-0.025945075,0.3505053
MAP2K3,0.45511076,-0.48099557,0.24465537,0.5459207,0.56136566,0.8408364,1.2631129,0.19973473,-0.82699007,0.326138,-1.5529604,0.23476996,-0.3893175,-0.12007864,0.19378543,0.094487704
MAP2K4,0.11730668,-0.21772856,0.6908468,-0.061961524,0.47260967,0.27102017,0.6386221,0.011549947,0.8277418,0.4535341,-0.3771793,-0.96439344,0.5509041,-1.1446233,-0.19363289,-0.10915441
MAP3K8,0.10576869,-0.36930233,0.8127345,0.47630543,0.5982518,0.7488621,1.1716003,-0.13806634,0.45727417,-0.44307512,-1.1190586,0.90581983,0.18433788,-0.48757508,-0.08624479,0.75560826
MAP3K14,-0.45753628,0.6526583,0.60499346,-0.6154628,0.26826075,0.5561473,1.5596946,-0.73766905,1.1872312,0.22329232,-0.0641953,0.102450214,0.15952274,-0.74849427,0.07312312,1.103867
CSK,0.22688158,-0.6937494,0.46887764,-0.37608865,0.8670912,1.094551,0.23442397,0.6309942,-0.039517038,-0.54945946,-1.0717694,0.078205265,0.08096773,-0.5223787,0.12699628,-0.27897444
