,PPI
BRSK1*CDK16,403
BRSK1*CAMKK2,522
BRSK1*CAMKK1,489
BRSK1*PKMYT1,804
BRSK1*WEE1,727
BRSK1*WEE2,633
BRSK1*PAK1,451
CHEK1*MELK,859
CHEK1*MAPKAPK2,400
CHEK1*CHEK2,974
CHEK1*VRK1,456
CHEK1*CDK1,945
CHEK1*CDK2,882
CHEK1*CDK3,589
CHEK1*CDK4,528
CHEK1*CDK6,507
CHEK1*CDK16,533
CHEK1*CDK17,532
CHEK1*CDK18,520
CHEK1*MAPK1,503
CHEK1*SRPK1,484
CHEK1*AURKA,839
CHEK1*BUB1B,913
CHEK1*BUB1,946
CHEK1*CDC7,975
CHEK1*CSNK2A1,571
CHEK1*HASPIN,549
CHEK1*NEK2,771
CHEK1*PLK1,713
CHEK1*PLK4,793
CHEK1*TLK1,614
CHEK1*PBK,855
CHEK1*TTK,847
CHEK1*PKMYT1,856
CHEK1*WEE1,965
CHEK1*WEE2,892
CHEK1*EGFR,534
CHEK1*KIT,653
STK11*MARK2,966
STK11*MARK1,671
STK11*MARK4,945
STK11*NUAK1,895
STK11*SIK3,931
STK11*SIK2,930
STK11*SIK1,950
STK11*SNRK,440
STK11*PKD1,473
STK11*CDK4,418
STK11*GSK3B,514
STK11*MAPK3,540
STK11*MAPK1,459
STK11*CAMKK2,886
STK11*CAMKK1,423
STK11*STK24,485
STK11*STK25,471
STK11*STK26,931
STK11*MAP2K1,466
STK11*MAP2K7,430
STK11*MAP2K3,560
STK11*ALK,711
STK11*MET,522
STK11*SRC,405
STK11*ILK,499
STK11*BMPR1A,651
MARK3*MARK2,538
MARK3*PIM1,748
MARK3*MAPK3,633
MARK3*MAPK1,617
MARK3*CDC7,446
MARK3*MAP2K1,622
MARK3*MAP2K2,611
MARK3*CSK,538
MARK3*JAK2,904
MARK3*SRC,561
MARK3*MAP3K11,907
MARK3*ARAF,562
MARK3*BRAF,547
MARK3*KSR1,958
MARK3*RAF1,601
MARK3*KSR2,536
MARK3*CNKSR2,510
MARK2*MARK1,500
MARK2*MARK4,581
MARK2*PINK1,769
MARK2*MAP3K11,408
MARK1*MARK4,421
MARK1*BUB1B,420
MARK1*LRRK2,495
MELK*VRK1,489
MELK*CDK1,985
MELK*CDK2,453
MELK*SRPK1,475
MELK*SRPK2,418
MELK*AURKA,929
MELK*BUB1B,955
MELK*BUB1,980
MELK*CDC7,524
MELK*HASPIN,514
MELK*NEK2,863
MELK*PLK1,872
MELK*PLK4,827
MELK*PBK,980
MELK*TTK,933
MELK*PKMYT1,637
NIM1K*SCYL3,414
NIM1K*WEE1,532
SIK1*NR4A3,448
STK40*TRIB1,895
STK40*TRIB2,533
STK40*TRIB3,815
STK40*VRK3,462
STK40*MAPK6,402
STK40*PDIK1L,434
STK40*STK35,415
STK40*KSR2,427
CASK*SRPK2,404
CSN3*DDR1,431
DAPK1*DAPK2,804
DAPK1*DAPK3,807
DAPK1*KALRN,550
DAPK1*MAPK3,950
DAPK1*MAPK1,883
DAPK1*LRRK2,428
DAPK1*LRRK1,483
DAPK2*DAPK3,807
DAPK2*MAPK3,857
DAPK2*MAPK1,852
DAPK3*MAPK3,861
DAPK3*MAPK1,862
DAPK3*MAP2K2,411
DCLK1*GAK,695
DCLK3*KSR1,467
MAPKAPK2*MAPKAPK3,908
MAPKAPK2*MAPK3,755
MAPKAPK2*MAPK1,934
MAPKAPK2*MAPK7,520
MAPKAPK2*MAPK15,436
MAPKAPK2*MAPK8,428
MAPKAPK2*MAPK10,445
MAPKAPK2*MOS,408
MAPKAPK2*MAP2K6,949
MAPKAPK2*MAP2K3,938
MAPKAPK2*MAP2K4,412
MAPKAPK2*ABL1,545
MAPKAPK2*LYN,435
MAPKAPK2*SRC,749
MAPKAPK2*IRAK4,476
MAPKAPK2*RIPK3,444
MAPKAPK3*MAPK3,527
MAPKAPK3*MAPK1,551
MAPKAPK3*MAPK7,496
MAPKAPK3*MAPK15,429
MAPKAPK3*MAP2K6,925
MAPKAPK3*MAP2K3,934
MAPKAPK3*MAP2K4,415
MAPKAPK3*SRC,755
MAPKAPK5*KALRN,810
MAPKAPK5*VRK1,423
MAPKAPK5*DYRK1A,412
MAPKAPK5*MAPK1,717
MAPKAPK5*MAPK6,986
MAPKAPK5*MAPK4,925
MAPKAPK5*MAPK7,468
MAPKAPK5*MAPK15,417
MAPKAPK5*MAPK9,683
MAPKAPK5*SRPK1,500
MAPKAPK5*MAP2K6,924
MAPKAPK5*MAP2K3,921
MAPKAPK5*MAP2K4,525
MAPKAPK5*FYN,490
MAPKAPK5*NTRK1,683
MKNK1*MKNK2,809
MKNK1*MAPK3,943
MKNK1*MAPK1,980
MKNK1*MAPK6,415
MKNK1*PAK2,617
MKNK2*MAPK3,934
MKNK2*MAPK1,991
MKNK2*MAPK6,433
MKNK2*SRPK1,551
MKNK2*MST1R,469
TTN*MAPK1,504
TTN*SRC,457
TTN*ILK,436
MYLK4*PAK1,647
MYLK4*PAK2,649
MYLK4*PAK3,640
MYLK4*PAK4,650
MYLK4*PAK5,623
PHKG1*PHKG2,593
PIM3*SRPK1,524
PIM3*HASPIN,436
PIM3*MOS,402
PIM1*PIM2,830
PIM1*MOS,427
PIM1*PDIK1L,419
PIM1*EGFR,663
PIM1*EPHA3,426
PIM1*BMX,438
PIM1*IRAK4,471
PIM2*CDK9,411
PIM2*PDIK1L,417
PIM2*JAK2,410
PIM2*FLT3,473
PKD1*PRKD1,672
PKD1*PKD2,994
PKD1*CDK18,444
PKD1*NEK8,638
PKD1*NEK9,518
PKD1*PTK2,914
PKD1*JAK2,467
PKD1*SRC,704
PRKD1*PKD2,733
PRKD1*PRKD2,803
PRKD1*IGF1R,924
PRKD1*SRC,421
PRKD1*SYK,541
PKD2*CSNK2A1,440
PKD2*CSNK2A2,414
PKD2*NEK8,799
PKD2*NEK9,553
PSKH1*POMK,498
PSKH2*MOS,437
PSKH2*PRAG1,518
CHEK2*TSSK1B,402
CHEK2*VRK1,447
CHEK2*CDK1,596
CHEK2*CDK2,544
CHEK2*CDK3,456
CHEK2*CDK4,588
CHEK2*CDK6,461
CHEK2*CDK16,424
CHEK2*CDK17,418
CHEK2*CDK18,430
CHEK2*MAPK3,762
CHEK2*MAPK1,742
CHEK2*SRPK1,439
CHEK2*AURKA,483
CHEK2*BUB1B,636
CHEK2*BUB1,640
CHEK2*CDC7,983
CHEK2*RNASEL,405
CHEK2*PLK1,912
CHEK2*PLK3,986
CHEK2*PLK4,522
CHEK2*PLK2,611
CHEK2*PKMYT1,803
CHEK2*WEE1,823
CHEK2*WEE2,789
CHEK2*STK4,832
CHEK2*STK3,823
CHEK2*BMPR1A,422
TRIB1*TRIB2,699
TRIB1*VRK3,429
TRIB1*MAP2K1,943
TRIB1*MAP2K4,494
TRIB2*VRK3,417
TRIB3*ERN1,555
TRIB3*EIF2AK4,561
TRIB3*EIF2AK3,485
TRIB3*MAP3K1,457
TRIB3*MAP2K1,703
TRIB3*BMPR2,461
TRIO*PAK1,915
TRIO*ABL1,450
TRIO*ABL2,413
TRIO*PTK2,693
TRIO*FYN,658
TRIO*SRC,670
KALRN*CDK5,567
KALRN*MAPK6,802
KALRN*UHMK1,403
KALRN*PAK1,934
KALRN*ABL1,498
KALRN*ABL2,505
KALRN*EPHA4,475
KALRN*EPHB1,499
KALRN*EPHB2,962
KALRN*FYN,457
KALRN*NTRK1,526
KALRN*NTRK2,410
KALRN*LIMK1,525
KALRN*CNKSR2,447
TSSK3*MOS,488
TSSK3*STK3,464
TSSK2*MOS,480
TSSK6*MOS,479
TSSK6*MAP2K6,411
TSSK6*MAP2K3,431
TSSK4*CDK4,471
TSSK4*CDK6,406
TSSK4*NRBP2,450
TSSK4*STK4,460
TSSK1B*MOS,533
CSNK1G2*GSK3B,930
TTBK2*MAP3K14,458
TTBK1*CDK5,425
TTBK1*MAP3K14,708
TTBK1*RET,465
VRK1*CDK1,762
VRK1*CDK2,417
VRK1*CDK9,488
VRK1*SRPK2,424
VRK1*AURKA,402
VRK1*BUB1B,438
VRK1*BUB1,551
VRK1*CDC7,541
VRK1*HASPIN,543
VRK1*PLK1,520
VRK1*PLK3,541
VRK1*PLK4,423
VRK1*PBK,500
VRK1*TTK,519
VRK2*MAPK8,418
VRK2*MAP2K1,510
VRK2*MAP2K7,589
VRK2*MAP3K7,557
VRK2*KSR1,868
VRK2*RIPK4,454
VRK3*MAPK3,920
VRK3*MAPK1,924
VRK3*MAPK7,912
VRK3*PRAG1,619
VRK3*ILK,545
VRK3*KSR1,416
CDK1*CDK2,987
CDK1*CDK3,566
CDK1*CDK4,933
CDK1*CDK6,926
CDK1*CDK5,907
CDK1*CDK7,980
CDK1*CDK8,922
CDK1*CDK9,912
CDK1*CDK13,794
CDK1*CDK12,774
CDK1*MAPK6,917
CDK1*AURKA,982
CDK1*BUB1B,999
CDK1*BUB1,999
CDK1*CDC7,926
CDK1*CSNK2A1,594
CDK1*HASPIN,662
CDK1*NEK2,940
CDK1*NEK9,916
CDK1*PLK1,996
CDK1*PLK3,506
CDK1*PLK4,871
CDK1*PLK2,891
CDK1*PBK,998
CDK1*TTK,993
CDK1*MYT1,970
CDK1*PKMYT1,997
CDK1*WEE1,998
CDK1*WEE2,910
CDK1*PKN1,908
CDK1*SLK,805
CDK1*MAP2K1,929
CDK1*ABL1,461
CDK1*EGFR,828
CDK1*EPHB2,825
CDK1*BLK,508
CDK1*FYN,423
CDK1*LYN,890
CDK1*SRC,950
CDK1*YES1,433
CDK2*CDK4,922
CDK2*CDK6,973
CDK2*CDK5,907
CDK2*CDK7,992
CDK2*CDK8,921
CDK2*CDK9,915
CDK2*CDK13,860
CDK2*CDK12,773
CDK2*CDK20,521
CDK2*MAPK3,931
CDK2*MAPK1,931
CDK2*MAPK15,702
CDK2*AURKA,616
CDK2*BUB1B,730
CDK2*BUB1,775
CDK2*CDC7,972
CDK2*PLK1,601
CDK2*PLK3,440
CDK2*PLK4,488
CDK2*PLK2,444
CDK2*PBK,652
CDK2*TTK,613
CDK2*PKMYT1,700
CDK2*WEE1,935
CDK2*WEE2,451
CDK2*ABL1,925
CDK2*FLT3,467
CDK2*PTK6,671
CDK2*LYN,643
CDK2*LRRK2,572
CDK3*BUB1B,504
CDK3*BUB1,513
CDK3*CDC7,414
CDK3*PLK1,450
CDK3*PLK3,401
CDK3*PKMYT1,634
CDK3*WEE1,546
CDK3*WEE2,433
CDK4*CDK6,942
CDK4*CDK5,920
CDK4*CDK7,955
CDK4*CDK8,922
CDK4*CDK9,918
CDK4*CDK13,873
CDK4*CDK12,779
CDK4*GSK3B,923
CDK4*MAPK1,465
CDK4*AURKA,508
CDK4*BUB1B,615
CDK4*BUB1,625
CDK4*CDC7,877
CDK4*PLK1,588
CDK4*PKMYT1,539
CDK4*WEE1,560
CDK4*WEE2,509
CDK4*MAP2K1,401
CDK4*ABL1,922
CDK4*JAK2,926
CDK4*JAK3,512
CDK4*PTK6,670
CDK4*LYN,927
CDK4*SRC,935
CDK6*CDK5,917
CDK6*CDK7,955
CDK6*CDK8,924
CDK6*CDK9,767
CDK6*CDK13,774
CDK6*CDK12,776
CDK6*GSK3B,920
CDK6*AURKA,459
CDK6*BUB1B,567
CDK6*BUB1,600
CDK6*CDC7,616
CDK6*PLK1,402
CDK6*PKMYT1,476
CDK6*WEE1,776
CDK6*WEE2,514
CDK6*ABL1,919
CDK6*JAK2,924
CDK6*PTK6,921
CDK6*LYN,918
CDK6*SRC,928
CDK5*CDK7,934
CDK5*CDK8,905
CDK5*GSK3B,955
CDK5*GAK,569
CDK5*PINK1,489
CDK5*PAK1,937
CDK5*MAP2K1,936
CDK5*ABL1,938
CDK5*EPHA3,904
CDK5*EPHA4,928
CDK5*EPHA5,904
CDK5*EPHA7,906
CDK5*EPHA6,902
CDK5*AATK,755
CDK5*LMTK2,559
CDK5*FYN,890
CDK5*SRC,411
CDK5*NTRK2,733
CDK5*LRRK2,630
CDK7*CDK8,928
CDK7*CDK11B,462
CDK7*CDK19,453
CDK7*CDK9,974
CDK7*CDK13,819
CDK7*CDK12,818
CDK7*BUB1B,419
CDK7*BUB1,488
CDK7*HASPIN,405
CDK7*WEE1,639
CDK8*CDK19,973
CDK8*CDK9,831
CDK8*CDK16,409
CDK8*BUB1,406
CDK8*HASPIN,467
CDK8*WEE1,413
CDK8*ACVR1B,478
CDK11B*CSNK2A2,655
CDK11B*PAK1,546
CDK19*HASPIN,421
CDK9*CDK13,758
CDK9*CDK12,866
CDK13*CDK12,900
CDK13*STKLD1,425
CDK12*CDK20,502
CDK12*PRPF4B,441
CDK12*LRRK2,428
CDK16*CDK20,401
CDK16*BUB1B,451
CDK16*BUB1,462
CDK16*CSNK2A2,516
CDK16*PLK1,410
CDK16*PLK2,400
CDK16*PKMYT1,662
CDK16*WEE1,481
CDK16*WEE2,463
CDK17*CDK20,400
CDK17*BUB1B,451
CDK17*BUB1,451
CDK17*PKMYT1,640
CDK17*WEE1,502
CDK17*WEE2,463
CDK18*BUB1B,457
CDK18*BUB1,457
CDK18*PLK1,402
CDK18*PKMYT1,648
CDK18*WEE1,491
CDK18*WEE2,463
CDK20*CDC7,439
CDKL1*CDKL4,692
CLK1*CLK2,684
CLK1*CLK3,443
CLK1*CLK4,991
CLK1*PRPF4B,544
CLK1*SRPK1,691
CLK1*SRPK2,689
CLK1*SRPK3,499
CLK2*CLK3,886
CLK2*PRPF4B,530
CLK2*SRPK1,509
CLK2*SRPK2,809
CLK2*SRPK3,437
CLK3*SRPK1,543
CLK3*SRPK2,741
CLK3*SRPK3,460
CLK4*SRPK1,688
CLK4*SRPK2,545
CLK4*SRPK3,466
CLK4*PDGFRB,436
DYRK1B*MAPK1,414
DYRK1B*MAP2K3,489
DYRK1A*SRPK1,524
DYRK1A*CAMKK2,566
DYRK1A*HASPIN,407
DYRK1A*WEE1,470
DYRK1A*MAP3K1,470
DYRK1A*TXK,496
DYRK2*HASPIN,413
HIPK2*NLK,945
HIPK2*ABL1,465
HIPK2*MAP3K7,952
HIPK4*NTRK3,489
PRPF4*PRPF4B,940
PRPF4*EIF2AK4,424
PRPF4B*SRPK1,444
PRPF4B*SRPK2,559
PRPF4B*SRPK3,545
PRPF4B*SLTM,575
GSK3A*GSK3B,935
GSK3A*LRRK2,405
GSK3B*MAPK1,598
GSK3B*AURKA,977
GSK3B*TBK1,489
GSK3B*MAP3K1,430
GSK3B*MAP3K2,406
GSK3B*MAP3K4,406
GSK3B*MAP2K1,878
GSK3B*MAP2K2,870
GSK3B*MAP2K7,884
GSK3B*PTK2,456
GSK3B*PTK2B,915
GSK3B*IGF1R,531
GSK3B*INSR,409
GSK3B*MET,436
GSK3B*RYK,457
GSK3B*FYN,923
GSK3B*SRC,601
GSK3B*NTRK2,483
GSK3B*LRRK2,890
GSK3B*ILK,976
GSK3B*ARAF,814
GSK3B*BRAF,822
GSK3B*RAF1,830
MAPK3*MAPK1,988
MAPK3*MAPK7,621
MAPK3*MAPK8,934
MAPK3*MAPK9,586
MAPK3*MAPK10,576
MAPK3*MYT1,905
MAPK3*WEE1,441
MAPK3*MAP3K1,796
MAPK3*MAP3K2,447
MAPK3*MAP3K3,580
MAPK3*MAP3K4,447
MAPK3*PAK1,657
MAPK3*PAK2,796
MAPK3*PAK3,603
MAPK3*MAP2K1,998
MAPK3*MAP2K2,995
MAPK3*MAP2K5,569
MAPK3*MAP2K6,902
MAPK3*MAP2K7,422
MAPK3*MAP2K3,928
MAPK3*MAP3K14,941
MAPK3*ALK,564
MAPK3*CSK,746
MAPK3*MATK,919
MAPK3*EGFR,960
MAPK3*PTK2,944
MAPK3*FGFR1,934
MAPK3*FGFR2,928
MAPK3*FGFR3,926
MAPK3*FGFR4,925
MAPK3*IGF1R,939
MAPK3*INSR,468
MAPK3*JAK1,935
MAPK3*JAK2,937
MAPK3*JAK3,928
MAPK3*TYK2,924
MAPK3*MET,936
MAPK3*RET,708
MAPK3*FYN,465
MAPK3*LCK,948
MAPK3*LYN,969
MAPK3*SRC,971
MAPK3*SYK,462
MAPK3*TEK,444
MAPK3*NTRK1,945
MAPK3*NTRK3,404
MAPK3*LRRK2,522
MAPK3*ILK,736
MAPK3*MAP3K7,849
MAPK3*ARAF,825
MAPK3*BRAF,982
MAPK3*KSR1,968
MAPK3*RAF1,986
MAPK3*KSR2,844
MAPK3*CNKSR2,717
MAPK1*MAPK7,647
MAPK1*MAPK8,931
MAPK1*MAPK9,581
MAPK1*MAPK10,574
MAPK1*CILK1,516
MAPK1*CSNK2A1,446
MAPK1*NEK2,481
MAPK1*MYT1,900
MAPK1*WEE1,428
MAPK1*MAP3K1,898
MAPK1*MAP3K2,438
MAPK1*MAP3K3,571
MAPK1*MAP3K4,448
MAPK1*PAK1,706
MAPK1*PAK2,696
MAPK1*PAK3,607
MAPK1*PAK4,400
MAPK1*MAP2K1,998
MAPK1*MAP2K2,999
MAPK1*MAP2K5,545
MAPK1*MAP2K6,924
MAPK1*MAP2K7,665
MAPK1*MAP2K3,914
MAPK1*MAP2K4,421
MAPK1*MAP3K14,931
MAPK1*ABL1,459
MAPK1*ALK,571
MAPK1*CSK,720
MAPK1*MATK,913
MAPK1*EGFR,962
MAPK1*PTK2,929
MAPK1*FGFR1,923
MAPK1*FGFR2,923
MAPK1*FGFR3,920
MAPK1*FGFR4,919
MAPK1*IGF1R,935
MAPK1*INSR,463
MAPK1*JAK1,932
MAPK1*JAK2,929
MAPK1*JAK3,923
MAPK1*TYK2,919
MAPK1*MET,925
MAPK1*RET,676
MAPK1*FYN,938
MAPK1*LCK,977
MAPK1*LYN,948
MAPK1*SRC,956
MAPK1*YES1,922
MAPK1*NTRK1,926
MAPK1*KDR,415
MAPK1*LRRK2,507
MAPK1*ILK,440
MAPK1*MAP3K10,404
MAPK1*MAP3K7,849
MAPK1*ARAF,819
MAPK1*BRAF,987
MAPK1*KSR1,984
MAPK1*RAF1,989
MAPK1*KSR2,865
MAPK1*CNKSR2,714
MAPK6*PAK1,924
MAPK6*PAK2,925
MAPK6*PAK3,924
MAPK6*MAP2K1,487
MAPK6*MAP2K2,531
MAPK6*MAP2K5,475
MAPK6*IRAK1,515
MAPK4*PAK1,925
MAPK4*PAK2,924
MAPK4*PAK3,925
MAPK4*MAP2K1,443
MAPK4*MAP2K2,429
MAPK4*MAP2K5,461
MAPK4*MAP2K4,595
MAPK7*MAP3K1,410
MAPK7*MAP3K2,646
MAPK7*MAP3K3,565
MAPK7*MAP3K4,462
MAPK7*PAK1,415
MAPK7*PAK2,411
MAPK7*MAP2K1,661
MAPK7*MAP2K2,612
MAPK7*MAP2K5,997
MAPK7*MAP2K6,944
MAPK7*MAP2K3,510
MAPK7*RET,647
MAPK7*ARAF,400
MAPK7*RAF1,556
MAPK15*MAP2K1,493
MAPK15*MAP2K2,405
MAPK15*MAP2K5,545
MAPK15*SRC,429
MAPK8*MAPK9,980
MAPK8*MAPK10,904
MAPK8*PBK,510
MAPK8*PIK3R4,419
MAPK8*MAP3K1,991
MAPK8*MAP3K2,406
MAPK8*MAP3K4,535
MAPK8*MAP3K5,867
MAPK8*PAK1,933
MAPK8*MAP2K1,881
MAPK8*MAP2K2,863
MAPK8*MAP2K6,943
MAPK8*MAP2K7,998
MAPK8*MAP2K3,946
MAPK8*MAP2K4,996
MAPK8*ABL1,918
MAPK8*CSK,421
MAPK8*EGFR,731
MAPK8*PTK2,437
MAPK8*PTK2B,949
MAPK8*IGF1R,524
MAPK8*JAK1,928
MAPK8*JAK3,925
MAPK8*MET,920
MAPK8*KIT,918
MAPK8*RET,932
MAPK8*ROR2,915
MAPK8*FYN,937
MAPK8*LCK,934
MAPK8*LYN,937
MAPK8*SRC,947
MAPK8*BTK,923
MAPK8*TEK,913
MAPK8*IRAK1,501
MAPK8*MAP3K11,954
MAPK8*MAP3K7,948
MAPK8*RIPK2,866
MAPK9*MAPK10,929
MAPK9*MAP3K1,923
MAPK9*MAP3K5,852
MAPK9*PKN1,411
MAPK9*STK25,574
MAPK9*MAP2K1,881
MAPK9*MAP2K2,868
MAPK9*MAP2K6,879
MAPK9*MAP2K7,991
MAPK9*MAP2K3,884
MAPK9*MAP2K4,987
MAPK9*EGFR,704
MAPK9*JAK1,928
MAPK9*JAK3,919
MAPK9*ROR2,909
MAPK9*LCK,931
MAPK9*SRC,880
MAPK9*MAP3K10,503
MAPK9*MAP3K7,892
MAPK9*RIPK2,864
MAPK10*MAP3K1,847
MAPK10*MAP3K5,858
MAPK10*MAP2K1,860
MAPK10*MAP2K2,850
MAPK10*MAP2K6,882
MAPK10*MAP2K7,987
MAPK10*MAP2K3,882
MAPK10*MAP2K4,989
MAPK10*ROR2,911
MAPK10*SRC,882
MAPK10*MAP3K11,439
MAPK10*MAP3K7,895
MAPK10*RIPK2,844
NLK*RYK,486
NLK*MAP3K7,987
MAK*SCYL1,412
ALPK3*EIF2AK3,725
CILK1*SCYL1,412
MOK*ACTR2,451
SRPK1*AURKA,524
SRPK1*NEK4,457
SRPK1*STK26,441
SRPK1*MST1R,444
SRPK2*AURKA,421
SRPK2*CSNK2A2,427
SRPK2*ERN1,410
SRPK2*NEK4,594
SRPK2*ABL1,422
AURKA*BUB1B,965
AURKA*BUB1,993
AURKA*CDC7,649
AURKA*HASPIN,637
AURKA*NEK2,912
AURKA*PLK1,999
AURKA*PLK3,667
AURKA*PLK4,886
AURKA*PLK2,702
AURKA*TLK1,418
AURKA*TLK2,424
AURKA*PBK,926
AURKA*TTK,941
AURKA*PKMYT1,547
AURKA*PAK1,919
AURKA*MAP2K3,573
AURKA*EGFR,432
AURKA*ILK,916
BUB1B*BUB1,998
BUB1B*CDC7,806
BUB1B*HASPIN,841
BUB1B*NEK2,989
BUB1B*PINK1,565
BUB1B*PLK1,999
BUB1B*PLK3,790
BUB1B*PLK4,917
BUB1B*PLK2,742
BUB1B*PBK,973
BUB1B*TTK,995
BUB1B*PKMYT1,667
BUB1B*WEE1,645
BUB1B*WEE2,491
BUB1B*MAP3K1,440
BUB1*CDC7,841
BUB1*HASPIN,909
BUB1*NEK2,973
BUB1*PLK1,999
BUB1*PLK3,712
BUB1*PLK4,942
BUB1*PLK2,890
BUB1*PBK,970
BUB1*TTK,999
BUB1*PKMYT1,799
BUB1*WEE1,633
TP53RK*CSNK2A1,406
TP53RK*HASPIN,446
TP53RK*PIK3R4,427
CAMKK2*CAMKK1,909
CAMKK2*WEE1,465
CDC7*GAK,499
CDC7*NEK2,448
CDC7*PDIK1L,457
CDC7*STK31,467
CDC7*PLK1,780
CDC7*PLK3,571
CDC7*PLK4,713
CDC7*PLK2,539
CDC7*PBK,634
CDC7*TTK,670
CDC7*PKMYT1,432
CDC7*WEE1,516
CDC7*PAK4,428
CDC7*MAP3K21,445
CSNK2A1*CSNK2A2,976
CSNK2A1*WEE1,655
CSNK2A1*SRC,469
CSNK2A1*LRRK2,431
CSNK2A1*KSR1,403
CSNK2A2*MAP2K2,407
CSNK2A2*ABL1,466
CSNK2A2*SYK,475
CSNK2A2*KSR1,556
CSNK2A2*BMPR1A,587
CSNK2A2*TGFBR2,434
HASPIN*NEK2,449
HASPIN*PLK1,764
HASPIN*PBK,406
HASPIN*TTK,751
HASPIN*PKMYT1,450
CHUK*IKBKB,992
CHUK*IKBKE,528
CHUK*TBK1,544
CHUK*EIF2AK4,625
CHUK*EIF2AK3,674
CHUK*EIF2AK2,878
CHUK*EIF2AK1,610
CHUK*MAP3K1,975
CHUK*MAP3K3,958
CHUK*MAP2K6,530
CHUK*MAP2K3,430
CHUK*MAP3K8,941
CHUK*MAP4K4,922
CHUK*MAP3K14,992
CHUK*EGFR,502
CHUK*SRC,623
CHUK*BTK,827
CHUK*NTRK1,907
CHUK*IRAK1,969
CHUK*IRAK2,949
CHUK*IRAK4,929
CHUK*MAP3K7,990
CHUK*RIPK1,965
CHUK*RIPK2,941
CHUK*RIPK3,915
IKBKB*IKBKE,636
IKBKB*TBK1,692
IKBKB*EIF2AK4,627
IKBKB*EIF2AK3,730
IKBKB*EIF2AK2,718
IKBKB*EIF2AK1,610
IKBKB*MAP3K1,975
IKBKB*MAP3K3,944
IKBKB*MAP3K8,924
IKBKB*MAP4K4,911
IKBKB*MAP3K14,989
IKBKB*SRC,891
IKBKB*BTK,830
IKBKB*NTRK1,906
IKBKB*IRAK1,965
IKBKB*IRAK2,922
IKBKB*IRAK4,927
IKBKB*MAP3K7,993
IKBKB*RIPK1,963
IKBKB*RIPK2,943
IKBKB*RIPK3,915
IKBKE*TBK1,987
IKBKE*RNASEL,410
IKBKE*IRAK1,585
IKBKE*IRAK2,416
IKBKE*IRAK3,423
IKBKE*RIPK1,750
TBK1*PINK1,481
TBK1*RNASEL,557
TBK1*ULK1,422
TBK1*MAP3K14,406
TBK1*EGFR,443
TBK1*SRC,417
TBK1*SYK,449
TBK1*IRAK1,659
TBK1*IRAK2,482
TBK1*RIPK1,935
TBK1*RIPK2,497
ERN1*ERN2,566
ERN1*EIF2AK3,452
ERN1*MAP3K5,973
ERN2*MAP3K5,690
MOS*PKMYT1,845
MOS*STK25,498
MOS*STK26,553
MOS*MAP2K1,852
MOS*MAP2K2,866
GAK*AAK1,625
GAK*BMP2K,432
GAK*NEK9,449
GAK*PINK1,549
GAK*RNASEL,448
GAK*WNK1,478
GAK*TNK1,442
GAK*ALK,557
GAK*LRRK2,972
GAK*LRRK1,584
GAK*ACTR2,549
AAK1*SCYL2,465
AAK1*ACTR2,496
STK16*PDIK1L,416
STK16*GCK,455
STK16*MAP2K1,413
STK16*MAP2K2,474
STK16*MAP2K5,492
STK16*IRAK4,408
BMP2K*EPHB2,577
BMP2K*ACTR2,471
NEK1*CNKSR2,505
NEK2*NEK11,424
NEK2*PLK1,719
NEK2*PLK4,665
NEK2*PBK,919
NEK2*TTK,907
NEK4*CNKSR2,426
NEK4*ACTR2,632
NEK6*NEK7,984
NEK6*NEK9,931
NEK7*NEK9,975
NEK8*CNKSR2,441
NEK9*PLK1,949
NEK9*CNKSR2,407
NEK10*MAP3K1,413
SBK3*PRAG1,470
SBK3*TEX14,463
SBK3*PKDCC,503
SBK3*POMK,501
SBK3*TBCK,529
PINK1*EIF2AK4,406
PINK1*ULK1,613
PINK1*ULK2,637
PINK1*PIK3R4,552
PINK1*LRRK2,971
PINK1*LRRK1,723
PRAG1*CSK,942
PDIK1L*NRBP2,451
PDIK1L*MAP2K6,427
PDIK1L*EPHA3,418
PDIK1L*SRC,412
PDIK1L*TXK,468
TEX14*STK31,518
NRBP1*MAP4K4,413
NRBP2*MAP3K3,435
PKDCC*POMK,593
UHMK1*DDR2,447
RNASEL*EIF2AK2,680
RNASEL*JAK1,495
RNASEL*TYK2,475
RNASEL*LRRK2,426
EIF2AK4*EIF2AK3,403
EIF2AK4*PIK3R4,469
EIF2AK4*ACVRL1,443
EIF2AK4*BMPR2,521
EIF2AK3*MAP3K5,566
EIF2AK3*MAP2K7,447
EIF2AK2*PIK3R4,446
EIF2AK2*MAP4K4,905
EIF2AK2*JAK1,536
EIF2AK2*IRAK1,909
EIF2AK2*RIPK1,822
PLK1*PLK4,666
PLK1*PBK,977
PLK1*TTK,955
PLK1*PKMYT1,995
PLK1*WEE1,979
PLK1*WEE2,521
PLK1*STK3,403
PLK1*PAK1,939
PLK1*SLK,831
PLK1*EPHB2,922
PLK1*LRRK2,517
PLK1*RAF1,415
PLK3*PLK4,413
PLK3*PBK,411
PLK3*TTK,560
PLK3*PKMYT1,752
PLK3*WEE1,499
PLK3*WEE2,442
PLK3*KSR1,860
PLK3*RAF1,809
PLK4*PLK2,454
PLK4*PBK,899
PLK4*TTK,921
PLK4*PKMYT1,570
PLK4*WEE1,546
PLK4*WEE2,450
PLK2*PBK,536
PLK2*TTK,613
