,pairs,Index2,PCC
78,ENSG00000103319.12*ENSG00000076864.19,85,0.0423389160819023
79,ENSG00000008056.14*ENSG00000109458.8,86,0.4337356647647726
80,ENSG00000185650.10*ENSG00000105325.14,87,0.1219493111105967
81,ENSG00000137497.18*ENSG00000150593.18,88,-0.0051994478326385
82,ENSG00000122786.20*ENSG00000198625.13,89,0.0918187122475687
83,ENSG00000187244.12*ENSG00000115524.17,90,0.052527995151176
84,ENSG00000103319.12*ENSG00000184481.17,91,-0.0668697567325499
85,ENSG00000112062.10*ENSG00000137154.13,92,0.0285861406895203
86,ENSG00000130592.16*ENSG00000103319.12,93,0.4173071591839628
87,ENSG00000067606.17*ENSG00000128951.14,94,-0.239765215322943
88,ENSG00000106443.16*ENSG00000198176.13,95,0.1883389534384581
89,ENSG00000174292.12*ENSG00000108443.14,96,0.059290447616957
90,ENSG00000058453.17*ENSG00000112561.18,97,-0.0916126496972621
91,ENSG00000082074.18*ENSG00000103479.16,98,-0.0082099321644976
92,ENSG00000092964.18*ENSG00000104419.16,99,-0.0062194224148578
93,ENSG00000103197.18*ENSG00000107099.15,100,0.0156018487867201
94,ENSG00000184708.18*ENSG00000137807.15,101,0.1244847425897519
95,ENSG00000101152.11*ENSG00000140464.20,102,-0.3196672915065662
96,ENSG00000163932.15*ENSG00000132466.19,104,0.0055661279123904
97,ENSG00000165025.15*ENSG00000138639.18,105,-0.1107732089950057
98,ENSG00000127022.15*ENSG00000168610.14,106,-0.1942059586000159
99,ENSG00000169047.5*ENSG00000198771.11,107,0.1683704236164336
